image,race_scores,obese_scores
142.png,"[1.6437863e-03 5.3654810e-05 1.7864345e-02 5.3391552e-05 6.1106455e-04
 9.7827876e-01 1.4949404e-03]","[0.0025956404861062765, 0.3155421018600464, 0.6818622946739197]"
143.png,"[0.44724396 0.00835726 0.14783283 0.07672383 0.01095899 0.00169233
 0.30719084]","[0.9425138831138611, 0.054785192012786865, 0.002700942335650325]"
144.png,"[9.8781490e-01 2.9772850e-06 2.4263228e-03 6.4792181e-04 2.8137409e-04
 5.7224592e-05 8.7693650e-03]","[0.7929825782775879, 0.045379094779491425, 0.16163833439350128]"
145.png,"[7.2659545e-02 2.8721426e-04 8.5517609e-01 1.6712869e-02 2.1435864e-02
 5.2380003e-03 2.8490428e-02]","[0.9999954700469971, 2.6012639864347875e-06, 1.924986236190307e-06]"
146.png,"[0.04053409 0.00819389 0.16365749 0.17060587 0.60677475 0.00935386
 0.00088001]","[0.0025516648311167955, 0.01004929281771183, 0.9873991012573242]"
147.png,"[7.7527887e-01 6.5438820e-05 1.2763673e-01 7.8979315e-04 9.0087566e-04
 4.7031781e-03 9.0625010e-02]","[0.046014830470085144, 0.3651684522628784, 0.5888167023658752]"
148.png,"[0.09494662 0.00649393 0.57020974 0.02727723 0.04631529 0.17710663
 0.07765053]","[0.1658264398574829, 0.8339901566505432, 0.00018345621356274933]"
149.png,"[0.5416857  0.00056124 0.24361044 0.01635253 0.00557556 0.03013521
 0.16207938]","[6.791895430069417e-06, 9.538418055399234e-08, 0.999993085861206]"
150.png,"[9.9589121e-01 1.2412783e-05 1.6909700e-03 8.6633998e-05 7.5170348e-05
 2.8555389e-05 2.2150204e-03]","[0.04415374994277954, 0.9556439518928528, 0.0002023321867454797]"
151.png,"[0.0244403  0.01394023 0.56051064 0.08281671 0.23210844 0.08112636
 0.00505737]","[5.771747964899987e-06, 1.7416358844002389e-07, 0.9999940395355225]"
152.png,"[0.00132419 0.00143306 0.01159452 0.55850655 0.42444757 0.00177975
 0.00091446]","[0.19282518327236176, 0.8018906712532043, 0.005284154321998358]"
153.png,"[0.02275572 0.0034018  0.35000324 0.00211228 0.00989116 0.53682387
 0.07501192]","[1.0, 4.977774858971884e-10, 4.3006007643953126e-09]"
154.png,"[9.7148323e-01 2.1028207e-04 2.4310738e-02 7.5078802e-05 3.5721762e-04
 2.7851810e-04 3.2849910e-03]","[0.00034876525751315057, 0.2787494361400604, 0.7209017872810364]"
155.png,"[0.6378995  0.0007524  0.27554384 0.02614343 0.01797881 0.03217412
 0.00950789]","[0.00568953063338995, 0.2206066995859146, 0.7737038135528564]"
156.png,"[9.90448415e-01 4.89277591e-04 6.60790736e-03 1.20850695e-04
 4.24682221e-04 9.78434924e-04 9.30408249e-04]","[0.8025572299957275, 1.3570638657256495e-05, 0.19742923974990845]"
157.png,"[4.6525088e-01 7.8793877e-05 2.5094109e-02 1.6141787e-02 2.1171350e-02
 4.1122130e-01 6.1041836e-02]","[0.0005240857717581093, 0.0007161081302911043, 0.9987598657608032]"
158.png,"[5.6564400e-04 9.0387237e-01 4.2916104e-02 4.6275958e-04 3.3424327e-03
 4.7804993e-02 1.0356930e-03]","[0.9999556541442871, 4.3700154492398724e-05, 6.114832444836793e-07]"
159.png,"[2.0073655e-01 3.5880104e-05 5.7318628e-02 4.5786753e-01 2.0942622e-01
 3.3404899e-03 7.1274646e-02]","[0.9996815919876099, 3.177766480944727e-13, 0.00031838237191550434]"
160.png,"[9.9891084e-01 1.2452896e-06 1.6001919e-04 1.0178136e-04 3.2612817e-05
 1.2946291e-06 7.9219637e-04]","[0.0056966873817145824, 0.9943023920059204, 9.356144232697261e-07]"
161.png,"[3.4160327e-02 8.0550397e-03 7.8327906e-01 2.5029492e-04 6.0531689e-04
 1.5381162e-01 1.9838430e-02]","[0.02623574808239937, 1.3240633052191697e-06, 0.9737628698348999]"
162.png,"[7.9458565e-01 6.7043170e-06 1.0796130e-02 5.7974078e-02 9.0183802e-03
 4.7822500e-04 1.2714082e-01]","[0.9150140285491943, 0.033221423625946045, 0.05176462233066559]"
163.png,"[0.01490036 0.7806318  0.09476309 0.01224328 0.08709116 0.00947757
 0.00089278]","[0.005546834785491228, 0.1166786327958107, 0.8777744770050049]"
164.png,"[0.62446475 0.00098374 0.04624888 0.00244016 0.00170678 0.0069763
 0.31717932]","[0.9999998807907104, 1.1560649659791977e-10, 9.143844437176085e-08]"
165.png,"[0.632966   0.00125177 0.15710588 0.00077265 0.00083894 0.00117533
 0.20588936]","[0.06432850658893585, 0.9287369251251221, 0.006934533827006817]"
166.png,"[1.8645435e-03 8.1363672e-01 1.5398055e-01 5.3438143e-04 5.1971865e-03
 2.4031427e-02 7.5516320e-04]","[0.993109941482544, 0.005787048954516649, 0.0011030292371287942]"
167.png,"[0.10241821 0.00082336 0.70435745 0.01980793 0.04656629 0.10952981
 0.01649693]","[0.9999988079071045, 1.1776269275287632e-06, 4.74050043663965e-09]"
168.png,"[0.38675246 0.00103551 0.39275596 0.01783855 0.0255181  0.01745006
 0.15864938]","[0.00024772624601610005, 1.8960446546145704e-09, 0.9997522234916687]"
169.png,"[8.64090383e-01 6.71737189e-06 2.74026934e-02 1.01601865e-04
 1.32317567e-04 5.12126554e-03 1.03145011e-01]","[0.009328804910182953, 0.9768284559249878, 0.013842757791280746]"
170.png,"[0.0455042  0.00629254 0.312928   0.2907977  0.3093954  0.03326304
 0.00181904]","[0.037272121757268906, 0.9311404228210449, 0.031587474048137665]"
171.png,"[3.4865469e-02 5.1136953e-01 3.1289703e-01 2.9010673e-05 1.0034491e-04
 6.5360665e-02 7.5377926e-02]","[0.9993085861206055, 1.7614976317859021e-12, 0.0006913952529430389]"
172.png,"[0.5400269  0.03431622 0.33124965 0.01572554 0.0470418  0.01020696
 0.0214329 ]","[0.9912620782852173, 0.0004999671946279705, 0.008237985894083977]"
173.png,"[2.3764104e-02 5.0744963e-01 9.8252483e-02 4.5010031e-04 3.6083942e-03
 3.5430020e-01 1.2175079e-02]","[0.04287790507078171, 0.3037119507789612, 0.6534101366996765]"
174.png,"[9.8612505e-01 3.0211500e-06 1.0963013e-02 1.7329569e-04 3.4279074e-04
 2.4164082e-04 2.1511279e-03]","[0.005950961261987686, 0.22172467410564423, 0.7723243832588196]"
175.png,"[9.5183378e-01 2.1749998e-03 1.2961196e-02 1.1758160e-02 2.7034599e-03
 6.3954486e-04 1.7928876e-02]","[0.34440967440605164, 0.6473754048347473, 0.008214927278459072]"
176.png,"[4.5356894e-05 9.9726540e-01 1.0817150e-03 4.8863236e-04 1.0989251e-03
 1.6111529e-05 3.8960616e-06]","[0.7710245251655579, 0.013677498325705528, 0.21529793739318848]"
177.png,"[0.92845726 0.00265414 0.04705365 0.00122302 0.00376731 0.00407521
 0.01276928]","[0.9603410363197327, 1.5097177765710512e-06, 0.03965749964118004]"
178.png,"[8.8763615e-04 4.4232607e-07 3.0994639e-04 7.8204346e-01 2.1672453e-01
 2.5739093e-05 8.2018814e-06]","[0.08591067790985107, 0.8874287009239197, 0.02666056528687477]"
179.png,"[7.31613278e-01 2.20150175e-03 1.02593824e-01 8.62302631e-02
 4.79209349e-02 1.31615729e-04 2.93085426e-02]","[0.9081383943557739, 0.09018425643444061, 0.001677361666224897]"
180.png,"[9.6191067e-01 5.2632706e-05 2.0269236e-02 1.2177051e-03 7.3202630e-04
 2.1287873e-03 1.3688857e-02]","[0.9999998807907104, 4.258338710675432e-15, 1.40754167432533e-07]"
181.png,"[6.6700494e-01 4.0241517e-05 3.4248438e-02 5.7627866e-04 4.5472311e-04
 3.8626136e-03 2.9381278e-01]","[0.8446856737136841, 0.150240957736969, 0.005073416046798229]"
182.png,"[9.9788547e-01 3.0780342e-07 4.6252311e-04 9.4393891e-07 2.8893292e-06
 2.1320309e-06 1.6456456e-03]","[0.00868807453662157, 0.8149721026420593, 0.17633989453315735]"
183.png,"[2.3190971e-01 3.5900306e-05 3.4656593e-01 8.1936596e-04 1.6327963e-03
 5.9096348e-02 3.5993996e-01]","[0.00016882321506273001, 0.9437244534492493, 0.05610673129558563]"
184.png,"[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714
 0.14285714]","[0.981021523475647, 0.003248306456953287, 0.015730172395706177]"
185.png,"[0.63944525 0.01646852 0.04832257 0.02060679 0.00768917 0.00912593
 0.25834173]","[1.0, 6.07904270118301e-16, 2.028649959129325e-08]"
186.png,"[9.9259806e-01 1.6999335e-08 4.7953665e-04 5.9396693e-06 6.9473631e-06
 1.1123762e-04 6.7982809e-03]","[0.999168872833252, 1.9397784853936173e-06, 0.0008292620186693966]"
187.png,"[2.2673424e-04 9.5366466e-01 1.3492813e-02 4.6508696e-05 5.5115286e-04
 3.1983763e-02 3.4329038e-05]","[0.006910696160048246, 0.0010324069298803806, 0.9920569062232971]"
188.png,"[2.4291772e-01 2.6819018e-05 1.3092579e-02 2.5337448e-03 6.2918366e-04
 8.5571612e-04 7.3994422e-01]","[5.435146249510581e-06, 0.0004147961735725403, 0.9995797276496887]"
189.png,"[5.9702629e-01 9.1816932e-05 1.6803573e-01 4.5600431e-03 3.7699190e-03
 4.6668113e-03 2.2184940e-01]","[0.9999984502792358, 2.97099916224397e-07, 1.3650404753207113e-06]"
190.png,"[9.2357659e-01 2.6577400e-04 2.6004389e-02 1.8936001e-03 9.1183902e-04
 6.1003026e-04 4.6737809e-02]","[0.02297273837029934, 0.530383825302124, 0.4466434419155121]"
191.png,"[0.10307005 0.00048726 0.3313711  0.30479732 0.22169665 0.0115614
 0.02701629]","[0.0009813605574890971, 0.003957090433686972, 0.9950615763664246]"
192.png,"[0.44682312 0.00069102 0.29042092 0.03469997 0.0512049  0.04501329
 0.13114682]","[0.9772358536720276, 0.022470347583293915, 0.000293753546429798]"
193.png,"[9.8227030e-01 3.5206751e-06 4.3417877e-03 1.9126033e-05 1.7492748e-05
 5.8749112e-05 1.3289036e-02]","[0.9043372869491577, 0.004046082030981779, 0.0916166752576828]"
194.png,"[9.9984288e-01 1.5967608e-07 1.5463716e-05 3.7160069e-05 9.1330558e-06
 2.9201624e-07 9.4913266e-05]","[0.09666473418474197, 0.7770634293556213, 0.12627185881137848]"
195.png,"[2.9716603e-04 2.3885944e-01 7.9943895e-02 6.2012384e-03 5.2578247e-01
 1.4888060e-01 3.5247831e-05]","[1.549263106426224e-05, 0.9924181699752808, 0.007566392887383699]"
196.png,"[9.46973383e-01 6.10358200e-07 1.11984424e-02 1.02942184e-04
 2.05289587e-04 2.02205061e-04 4.13170457e-02]","[0.00030285597313195467, 0.05259845033288002, 0.9470986127853394]"
197.png,"[9.9414158e-01 1.1007406e-05 1.1409207e-03 2.6596790e-05 1.2320776e-05
 1.1142136e-04 4.5560589e-03]","[0.0024625100195407867, 0.9497228264808655, 0.04781464487314224]"
198.png,"[0.06085444 0.00449112 0.6500138  0.00565224 0.03751208 0.22708684
 0.01438953]","[0.9772500395774841, 3.269570879638195e-05, 0.022717148065567017]"
199.png,"[8.3624703e-01 5.3108674e-06 1.7861869e-02 1.1372204e-03 6.1929983e-04
 2.8168748e-03 1.4131236e-01]","[0.0003667812852654606, 1.3124240583195501e-09, 0.9996331930160522]"
200.png,"[1.7551803e-06 9.9971122e-01 2.2981188e-04 4.9883778e-07 9.5956430e-06
 4.6240715e-05 8.6438143e-07]","[0.9999041557312012, 1.8914496635602518e-08, 9.579754259902984e-05]"
201.png,"[1.3905956e-04 3.4275911e-06 6.6168699e-04 7.2594947e-01 2.7293932e-01
 3.0320411e-04 3.7673703e-06]","[0.3646013140678406, 0.4147406816482544, 0.22065795958042145]"
202.png,"[5.5286622e-01 5.3812932e-05 1.7460907e-01 2.6676729e-02 1.2295181e-02
 3.0278682e-03 2.3047125e-01]","[0.007421319838613272, 0.004119471181184053, 0.9884591698646545]"
203.png,"[9.5128268e-01 5.0842791e-06 1.7723107e-03 9.8236946e-05 1.2686818e-04
 1.3677545e-03 4.5347061e-02]","[0.9997410178184509, 9.034808954311302e-07, 0.0002580676809884608]"
204.png,"[0.00738019 0.00414604 0.47697178 0.00128725 0.05068422 0.45732453
 0.00220593]","[0.9474010467529297, 2.3882535970187746e-05, 0.05257518216967583]"
205.png,"[0.02116084 0.11074898 0.09681232 0.09345441 0.58112997 0.08476337
 0.01193022]","[0.029730062931776047, 0.017945269122719765, 0.9523246884346008]"
206.png,"[0.10192968 0.00129233 0.7933659  0.00465966 0.03063326 0.03548369
 0.03263541]","[0.040191344916820526, 0.8505561351776123, 0.10925249755382538]"
207.png,"[2.1654142e-03 1.5371121e-04 2.2671705e-02 2.9858845e-01 6.7592466e-01
 4.2672033e-04 6.9230351e-05]","[0.3655504882335663, 0.6060335636138916, 0.028415953740477562]"
208.png,"[9.9791348e-01 3.3451468e-06 3.6177028e-04 1.1108841e-04 4.8221842e-05
 6.4430710e-06 1.5555499e-03]","[0.014413472265005112, 0.9479741454124451, 0.037612397223711014]"
209.png,"[2.5327254e-05 9.9973452e-01 1.5494347e-04 5.4229054e-06 2.9934308e-05
 4.4151289e-05 5.6340928e-06]","[0.01531338132917881, 0.9832966327667236, 0.0013899300247430801]"
210.png,"[6.0739285e-01 1.3088655e-04 2.0551331e-01 2.9419789e-03 2.1610733e-03
 1.4621785e-03 1.8039769e-01]","[0.9985036849975586, 0.0011511193588376045, 0.00034524002694524825]"
211.png,"[8.5708421e-01 2.3436154e-05 2.9983303e-02 2.4351710e-02 2.9718345e-03
 6.0070766e-04 8.4984668e-02]","[0.0025742806028574705, 0.009048095904290676, 0.9883776307106018]"
212.png,"[7.0219034e-01 4.5526293e-04 7.0235156e-02 2.3252922e-04 2.5441381e-04
 8.0080396e-03 2.1862425e-01]","[0.19924095273017883, 0.7697582244873047, 0.031000759452581406]"
213.png,"[0.34147465 0.00115982 0.57383907 0.00252047 0.01065039 0.03290809
 0.03744752]","[0.9988021850585938, 5.280280311126262e-05, 0.001145105459727347]"
214.png,"[9.79692698e-01 5.33046550e-05 1.36732515e-02 9.23262851e-05
 3.80371348e-04 2.30807869e-04 5.87724848e-03]","[0.008973117917776108, 0.009960874915122986, 0.9810660481452942]"
215.png,"[9.5045024e-01 3.8057103e-04 1.2651530e-02 3.8232505e-03 7.0864637e-03
 5.1161041e-04 2.5096297e-02]","[0.20619399845600128, 0.5173697471618652, 0.2764362394809723]"
216.png,"[3.3153224e-01 1.4528129e-04 2.0881656e-01 1.4970853e-02 1.1011078e-02
 5.7873367e-03 4.2773667e-01]","[0.3437110483646393, 0.6560508608818054, 0.0002381463418714702]"
217.png,"[3.7402255e-03 5.3783864e-05 2.6494775e-02 7.6203007e-01 2.0666203e-01
 3.4363876e-04 6.7555637e-04]","[3.706331699504517e-05, 0.00660980399698019, 0.9933531284332275]"
218.png,"[9.5704770e-01 3.1438642e-05 1.6631677e-03 1.0937558e-05 2.2370476e-05
 9.5953284e-05 4.1128378e-02]","[0.9994636178016663, 0.0003295970382168889, 0.00020680352463386953]"
219.png,"[9.9095410e-01 6.8666559e-05 4.9844198e-03 2.1345356e-04 9.1836228e-05
 6.0795628e-06 3.6813309e-03]","[0.0004986883141100407, 0.7110227346420288, 0.2884786128997803]"
220.png,"[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714
 0.14285714]","[0.019071422517299652, 0.9597612619400024, 0.021167367696762085]"
221.png,"[1.9293359e-01 7.0455520e-05 3.1969497e-01 3.2978010e-01 7.9714514e-02
 4.0315227e-03 7.3774830e-02]","[0.9999744892120361, 3.514100299639722e-08, 2.549497912696097e-05]"
222.png,"[8.3168614e-01 3.4918135e-05 1.1016901e-02 1.5472107e-04 1.7216412e-04
 1.1846206e-04 1.5681669e-01]","[0.8685916662216187, 0.04085494950413704, 0.09055349230766296]"
223.png,"[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714
 0.14285714]","[0.6103594303131104, 0.38963717222213745, 3.3355981940985657e-06]"
224.png,"[0.00242396 0.6670263  0.2243294  0.00139297 0.01784544 0.08244923
 0.00453272]","[0.3045171797275543, 0.6903735399246216, 0.005109244026243687]"
225.png,"[5.4306001e-03 2.0891526e-05 2.9906761e-03 7.5968426e-01 2.3149073e-01
 3.4208913e-04 4.0733466e-05]","[0.418866902589798, 0.00028772937366738915, 0.5808453559875488]"
226.png,"[9.9992150e-01 2.5028322e-07 9.9701756e-06 8.5135547e-08 1.2376486e-07
 5.5266753e-07 6.7585846e-05]","[0.48367512226104736, 0.32078784704208374, 0.1955370157957077]"
227.png,"[1.4650241e-01 3.9728595e-05 2.1311344e-01 1.6687995e-04 7.6364510e-04
 2.3183179e-01 4.0758210e-01]","[0.9977224469184875, 3.0512819648720324e-07, 0.002277152147144079]"
228.png,"[0.33673096 0.00097943 0.54100245 0.00335807 0.00422915 0.02579706
 0.08790286]","[0.0024281248915940523, 0.05774425342679024, 0.9398276209831238]"
229.png,"[9.9793428e-01 8.1932450e-07 2.1129055e-04 1.2002211e-05 2.4053303e-05
 2.4787134e-06 1.8150512e-03]","[0.003634622786194086, 0.7438732981681824, 0.25249212980270386]"
230.png,"[7.1907520e-01 2.6259880e-04 1.2980327e-01 2.7435660e-04 8.3873048e-04
 1.9151798e-03 1.4783058e-01]","[0.9728725552558899, 0.008484047837555408, 0.018643436953425407]"
231.png,"[9.9160922e-01 5.2113360e-06 5.4753753e-03 1.0222630e-03 8.1203948e-04
 3.1968849e-04 7.5622846e-04]","[0.02483147382736206, 0.0001297009439440444, 0.9750388264656067]"
232.png,"[1.16131455e-01 3.51429539e-04 1.84936225e-01 4.58532989e-01
 1.25990331e-01 9.40137915e-03 1.04656130e-01]","[0.005807080771774054, 0.9937269687652588, 0.00046587857650592923]"
233.png,"[0.6378995  0.0007524  0.27554384 0.02614343 0.01797881 0.03217412
 0.00950789]","[0.00568953063338995, 0.2206066995859146, 0.7737038135528564]"
234.png,"[9.9912786e-01 4.6197408e-07 9.2788039e-05 5.3492701e-04 6.5530454e-05
 9.2011965e-07 1.7755661e-04]","[0.9997178912162781, 0.0002229813690064475, 5.907505328650586e-05]"
235.png,"[2.0533730e-03 1.1828930e-07 2.4105101e-04 5.7831162e-01 4.1925490e-01
 5.5548782e-05 8.3380924e-05]","[0.07385235279798508, 0.9217706322669983, 0.004376967437565327]"
236.png,"[9.7186887e-01 5.9556112e-07 1.4386830e-03 2.7830692e-04 8.9104622e-05
 3.6195874e-05 2.6288236e-02]","[0.17041988670825958, 0.15672554075717926, 0.6728546023368835]"
237.png,"[8.1497312e-01 7.5547886e-04 6.6289054e-03 1.1876580e-01 1.5617033e-02
 8.4661308e-04 4.2413075e-02]","[0.06498348712921143, 0.23010951280593872, 0.7049070596694946]"
238.png,"[8.1870329e-01 1.1685878e-03 1.5649846e-01 1.9598201e-05 1.7138614e-04
 7.7594896e-03 1.5679192e-02]","[0.15667106211185455, 0.6371269822120667, 0.2062019556760788]"
239.png,"[7.7798206e-01 5.2822274e-03 1.6338056e-01 6.0497518e-06 2.7273843e-05
 2.5197882e-03 5.0802074e-02]","[0.36162155866622925, 0.21706022322177887, 0.4213182330131531]"
240.png,"[0.05787857 0.0019398  0.8598518  0.01231399 0.02647409 0.02464147
 0.0169003 ]","[0.003270265180617571, 0.09758172184228897, 0.8991480469703674]"
241.png,"[8.6905092e-01 2.5715101e-06 6.2525640e-03 2.7928909e-05 1.6847102e-05
 2.1560660e-04 1.2443352e-01]","[0.08738276362419128, 0.8733277916908264, 0.039289407432079315]"
242.png,"[9.1768849e-01 7.6065162e-06 2.2868973e-03 4.2726216e-03 5.5156229e-04
 9.3597111e-05 7.5099252e-02]","[0.00044133205665275455, 0.999118983745575, 0.0004397854791022837]"
243.png,"[8.2304850e-06 9.9283922e-01 9.9973625e-04 2.1775188e-05 5.9759832e-04
 5.5327583e-03 6.7592322e-07]","[9.90181797533296e-05, 0.40609458088874817, 0.5938063859939575]"
244.png,"[0.42191103 0.01362491 0.37043104 0.03034794 0.08295266 0.0447743
 0.03595815]","[0.7950214743614197, 0.1974165141582489, 0.007562014739960432]"
245.png,"[0.42191103 0.01362491 0.37043104 0.03034794 0.08295266 0.0447743
 0.03595815]","[0.7950214743614197, 0.1974165141582489, 0.007562014739960432]"
246.png,"[1.24106165e-02 9.08345828e-05 6.18430451e-02 8.61743569e-01
 5.67795224e-02 5.11309947e-04 6.62105903e-03]","[0.9998979568481445, 7.206877455923077e-11, 0.00010205510625382885]"
247.png,"[7.0438915e-01 1.6080537e-04 5.2784705e-03 1.5155494e-05 8.6167536e-05
 1.2277797e-03 2.8884247e-01]","[0.5028199553489685, 0.49501529335975647, 0.002164768287912011]"
248.png,"[7.2645074e-01 4.1102374e-04 1.6680461e-01 3.8894645e-03 1.8770036e-03
 1.6358198e-03 9.8931402e-02]","[0.9974125027656555, 0.0012577075976878405, 0.0013297322439029813]"
249.png,"[1.2504188e-03 2.2523516e-04 1.8973846e-02 2.8197026e-01 6.9509608e-01
 2.4289745e-03 5.5159464e-05]","[0.5676659345626831, 0.43155229091644287, 0.000781797047238797]"
250.png,"[6.2669023e-06 9.9891245e-01 8.7082153e-04 2.3105654e-06 3.4388635e-05
 1.7101497e-04 2.5970767e-06]","[0.00034829051583074033, 0.003308701328933239, 0.9963429570198059]"
251.png,"[2.2605823e-01 1.5311361e-04 7.5485595e-02 4.4519192e-01 8.0621444e-02
 8.1693651e-03 1.6432025e-01]","[0.999997615814209, 2.2492151197095467e-10, 2.3941472591104684e-06]"
252.png,"[9.8314595e-01 4.6868659e-05 9.2214569e-03 2.3009391e-04 1.9679083e-04
 1.3607765e-04 7.0229527e-03]","[0.9934443235397339, 0.006401127204298973, 0.0001546036801300943]"
253.png,"[5.0844112e-04 9.8876590e-01 9.9046975e-03 3.4437307e-05 5.7651348e-05
 3.8486972e-04 3.4402372e-04]","[0.006644591689109802, 0.29487380385398865, 0.6984816193580627]"
254.png,"[8.0051970e-01 6.0137470e-05 9.5971324e-02 2.7943972e-02 8.1782350e-03
 3.1528118e-04 6.7011327e-02]","[8.510847692377865e-05, 7.155808248171525e-07, 0.9999141693115234]"
255.png,"[0.01871147 0.0280214  0.02988563 0.5665572  0.3379542  0.01274801
 0.00612213]","[0.015410928055644035, 0.00210724794305861, 0.982481837272644]"
256.png,"[9.9044675e-01 2.0957978e-05 5.1413216e-03 9.7197015e-05 9.6085132e-05
 2.9550480e-05 4.1680918e-03]","[0.7582716941833496, 0.23898997902870178, 0.0027383535634726286]"
257.png,"[9.50850427e-01 1.42915105e-05 2.31703520e-02 7.10867753e-04
 5.92497131e-03 1.35703513e-03 1.79719925e-02]","[0.049361396580934525, 0.3056468963623047, 0.6449917554855347]"
258.png,"[1.7377730e-03 1.2051755e-05 9.1857684e-04 9.6711600e-01 2.9528283e-02
 5.0131861e-05 6.3724030e-04]","[0.9250516295433044, 0.07069448381662369, 0.004253806546330452]"
259.png,"[9.9349236e-01 1.5885644e-07 8.2477555e-04 8.8704810e-06 1.0050924e-05
 3.3106746e-05 5.6307423e-03]","[0.01874648965895176, 0.9263073801994324, 0.05494609847664833]"
260.png,"[8.56150389e-01 4.62871285e-05 5.15652113e-02 1.88887157e-02
 5.04892506e-03 1.21270095e-04 6.81792349e-02]","[0.008662973530590534, 0.9337828159332275, 0.0575542226433754]"
261.png,"[2.1382567e-02 9.5956298e-03 1.4628766e-01 4.2247467e-04 3.6340242e-03
 7.5969297e-01 5.8984704e-02]","[0.7085230946540833, 0.2801552712917328, 0.01132160983979702]"
262.png,"[9.9280429e-01 5.3518681e-05 5.7179551e-04 1.6071392e-05 2.7200500e-05
 7.1453032e-05 6.4556426e-03]","[0.9999997615814209, 1.2569152316177501e-11, 2.0359613017717493e-07]"
263.png,"[0.28863987 0.01478198 0.24829943 0.03630175 0.03069042 0.01311933
 0.36816722]","[0.0001101179514080286, 0.0007346386555582285, 0.9991552829742432]"
264.png,"[1.8523737e-03 2.3284811e-06 6.0151366e-04 8.8722217e-01 1.1017056e-01
 1.8382125e-05 1.3263247e-04]","[5.350968422135338e-05, 0.26012763381004333, 0.7398188710212708]"
265.png,"[9.9952209e-01 2.0320932e-09 3.5399491e-06 1.4090378e-07 3.3005671e-07
 1.9491878e-07 4.7368239e-04]","[0.0001789490634109825, 0.9446930885314941, 0.05512797832489014]"
266.png,"[0.07703438 0.0108005  0.5829666  0.09087566 0.16152751 0.05263668
 0.02415873]","[0.003997616469860077, 0.42113950848579407, 0.5748629570007324]"
267.png,"[9.9181265e-01 3.7158192e-05 1.6226214e-03 4.6215791e-05 6.8125482e-05
 3.8602186e-05 6.3746227e-03]","[4.4130625610705465e-05, 0.8546881079673767, 0.1452677994966507]"
268.png,"[9.2512035e-01 4.4259048e-04 3.6636744e-02 1.5738763e-02 9.4286948e-03
 1.2690698e-04 1.2505904e-02]","[0.004614232573658228, 0.276059091091156, 0.7193266749382019]"
269.png,"[9.9087793e-01 2.1915805e-06 2.7898387e-03 8.2806911e-04 1.4767149e-03
 8.9718262e-05 3.9356286e-03]","[0.07475070655345917, 0.8721136450767517, 0.05313566327095032]"
270.png,"[6.4201516e-01 1.4775254e-04 5.2114338e-02 3.5057563e-04 1.5837187e-04
 2.1120948e-04 3.0500263e-01]","[0.4161115288734436, 0.4006873369216919, 0.1832011342048645]"
271.png,"[9.1826117e-01 1.6252203e-05 5.7352409e-02 4.2200828e-04 8.3007751e-04
 2.1267089e-03 2.0991361e-02]","[0.42762255668640137, 0.07737433910369873, 0.4950031340122223]"
272.png,"[0.02035336 0.00762143 0.91345024 0.00728019 0.03804993 0.00873038
 0.00451451]","[0.9991356730461121, 3.792368261201773e-06, 0.0008605275070294738]"
273.png,"[9.7492987e-01 3.0824484e-07 5.2956922e-04 3.0354854e-06 5.5620303e-06
 1.3276189e-05 2.4518371e-02]","[0.9999558925628662, 5.73683018956217e-06, 3.839424971374683e-05]"
274.png,"[0.00488022 0.01729954 0.43336174 0.07093271 0.41502175 0.05788012
 0.00062388]","[0.09952597320079803, 0.8626669645309448, 0.03780706599354744]"
275.png,"[0.09053016 0.00095167 0.06177456 0.29190457 0.54751635 0.00334834
 0.00397444]","[0.00529006402939558, 0.9242574572563171, 0.07045243680477142]"
276.png,"[2.5755553e-02 9.0029323e-05 1.3274713e-01 1.6601896e-03 1.7352183e-03
 6.6013825e-01 1.7787358e-01]","[0.023265380412340164, 0.881109356880188, 0.09562529623508453]"
277.png,"[9.8768204e-01 2.3609969e-06 3.6224083e-03 1.3585936e-03 7.8197051e-04
 3.6459136e-05 6.5161786e-03]","[0.047496259212493896, 0.9382567405700684, 0.014246934093534946]"
278.png,"[8.9770699e-01 3.3877117e-05 2.7099757e-02 2.2664307e-04 1.8882082e-04
 3.1540738e-04 7.4428394e-02]","[0.21100202202796936, 0.6905099749565125, 0.09848803281784058]"
279.png,"[9.6341276e-01 2.4007495e-05 4.3085134e-03 1.6349128e-02 3.3354010e-03
 2.6514172e-05 1.2543611e-02]","[0.010602031834423542, 0.9845442175865173, 0.0048538572154939175]"
280.png,"[9.8627692e-01 5.8632795e-06 3.7337632e-03 2.4118250e-05 3.4566354e-05
 9.9904653e-05 9.8248525e-03]","[0.5719531178474426, 0.42799943685531616, 4.7464214731007814e-05]"
281.png,"[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714
 0.14285714]","[0.05251073092222214, 0.8609548211097717, 0.0865345150232315]"
282.png,"[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714
 0.14285714]","[0.9771413207054138, 0.02285858802497387, 6.864488000246638e-08]"
283.png,"[1.5296901e-02 5.5383712e-01 2.9636568e-01 8.5398868e-05 3.9636006e-04
 9.8886646e-02 3.5131820e-02]","[0.9482736587524414, 0.00021279399516060948, 0.05151356756687164]"
