image,race_scores,obese_scores
32.png,"[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714
 0.14285714]","[0.5429685115814209, 0.456233948469162, 0.0007974880863912404]"
33.png,"[8.10171710e-04 1.14369446e-04 3.39445495e-03 7.90454626e-01
 2.03561530e-01 1.47377700e-03 1.91065265e-04]","[0.13763491809368134, 0.6979395151138306, 0.16442565619945526]"
34.png,"[2.3609501e-01 1.3515644e-04 6.9919991e-01 1.1222123e-03 3.8532533e-03
 2.7066140e-02 3.2528408e-02]","[0.00030485953902825713, 0.013313616625964642, 0.9863815307617188]"
35.png,"[4.9683315e-01 4.9936444e-01 2.7329542e-03 7.5995238e-05 2.9702805e-04
 9.8017357e-05 5.9850758e-04]","[0.0011265909997746348, 0.40975475311279297, 0.5891186594963074]"
36.png,"[0.02180455 0.01443427 0.17319453 0.11883989 0.256929   0.01437521
 0.40042254]","[0.5631017684936523, 0.0966329500079155, 0.3402652144432068]"
37.png,"[9.9470425e-01 2.0554938e-04 3.3120478e-03 6.8917419e-05 4.7647911e-05
 4.5868990e-05 1.6156519e-03]","[0.23643161356449127, 0.44980722665786743, 0.3137611746788025]"
38.png,"[8.9940107e-01 2.3818937e-05 7.3464938e-02 9.6550264e-04 4.0539890e-04
 3.7350748e-03 2.2004176e-02]","[0.0023079453967511654, 0.4730982184410095, 0.5245938301086426]"
39.png,"[5.4090577e-03 4.0597802e-06 9.1147227e-03 7.7353662e-01 2.1150452e-01
 3.5884982e-04 7.2144176e-05]","[0.6996108293533325, 0.294274240732193, 0.006114932708442211]"
40.png,"[4.5425102e-01 1.1796284e-05 3.3894950e-03 5.1622325e-01 1.3318585e-02
 1.2856123e-05 1.2793055e-02]","[0.04986884444952011, 0.5513078570365906, 0.3988233208656311]"
41.png,"[3.9355946e-01 1.0262170e-04 1.1047119e-01 1.7766976e-01 2.1033657e-01
 5.6803883e-03 1.0218009e-01]","[0.08286798000335693, 0.9080575108528137, 0.00907451007515192]"
42.png,"[0.12562504 0.37946323 0.20268983 0.00299596 0.01638344 0.05939863
 0.2134439 ]","[0.7066699862480164, 7.792838732711971e-05, 0.29325205087661743]"
43.png,"[8.8345081e-01 7.1185955e-06 1.0658034e-02 3.6403559e-02 2.7404219e-02
 4.8309439e-03 3.7245300e-02]","[0.019642820581793785, 0.9727038741111755, 0.007653290405869484]"
